,index,bowler,innings,runs,deliveries,wickets,bowled,lbw,caught,c_and_b,stumped,bowling_team,match_id
523,7,LM Jongwe,2,31,58,1.0,0.0,0.0,1.0,0.0,0.0,Zimbabwe,919617
524,8,PR Stirling,1,15,31,1.0,0.0,0.0,1.0,0.0,0.0,Ireland,919617
525,9,T Muzarabani,2,41,61,2.0,0.0,0.0,2.0,0.0,0.0,Zimbabwe,919617
526,10,TJ Murtagh,1,30,62,4.0,1.0,0.0,3.0,0.0,0.0,Ireland,919617
527,11,WP Masakadza,2,31,48,2.0,0.0,0.0,2.0,0.0,0.0,Zimbabwe,919617
528,0,AR McBrine,2,38,36,1.0,0.0,0.0,1.0,0.0,0.0,Ireland,919615
529,1,CJ Chibhabha,1,12,19,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,919615
530,2,GH Dockrell,2,39,62,0.0,0.0,0.0,0.0,0.0,0.0,Ireland,919615
531,3,J Nyumbu,1,39,48,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,919615
532,4,JF Mooney,2,46,53,1.0,0.0,0.0,1.0,0.0,0.0,Ireland,919615
533,5,KJ O'Brien,2,45,61,2.0,0.0,0.0,2.0,0.0,0.0,Ireland,919615
534,6,LM Jongwe,1,42,49,1.0,0.0,0.0,1.0,0.0,0.0,Zimbabwe,919615
535,7,PR Stirling,2,36,37,0.0,0.0,0.0,0.0,0.0,0.0,Ireland,919615
536,8,SC Williams,1,19,25,0.0,0.0,0.0,0.0,0.0,0.0,Zimbabwe,919615
537,9,Sikandar Raza,1,46,63,3.0,0.0,2.0,1.0,0.0,0.0,Zimbabwe,919615
